age,education_years,hours_per_week,gender,income
56,10,59,0,0
69,10,30,0,0
46,16,22,0,1
32,14,25,0,1
60,12,28,0,0
25,19,25,1,1
38,17,28,0,1
56,14,58,0,1
36,16,50,1,1
40,8,51,0,1
28,14,31,1,1
28,13,27,1,1
41,17,27,0,1
53,19,47,1,0
57,16,39,0,1
41,8,26,1,1
20,11,30,0,0
39,16,39,1,1
19,11,35,0,1
41,17,23,1,1
61,10,25,1,1
47,16,41,0,0
55,9,45,0,0
19,11,22,1,0
38,13,33,1,1
50,9,30,0,1
29,15,37,1,0
39,15,31,1,1
61,8,42,1,1
42,19,31,0,0
66,10,32,1,1
44,17,44,0,0
59,16,38,1,1
45,12,55,1,1
33,13,27,0,0
32,11,48,1,1
64,17,51,0,1
68,9,37,1,0
61,18,25,1,0
69,15,37,1,1
20,18,38,0,0
54,13,41,1,1
68,12,56,0,1
24,16,51,0,1
38,8,22,1,0
26,12,47,0,1
56,13,29,0,0
35,12,54,1,1
21,13,48,0,0
42,13,34,0,0
31,14,52,1,0
67,11,26,0,1
26,18,31,1,1
43,15,49,1,0
19,14,40,1,1
37,16,50,1,1
45,14,43,0,0
64,10,39,0,0
24,10,56,1,1
61,15,23,1,1
25,12,47,1,0
64,11,39,0,1
52,15,43,0,1
31,13,51,0,1
34,9,55,1,0
53,11,53,0,0
67,19,55,1,1
57,18,21,1,0
21,11,34,0,1
19,13,53,1,1
23,13,55,0,0
59,8,25,1,1
21,15,58,1,1
46,13,31,1,1
35,10,22,1,1
43,16,37,0,1
61,9,59,0,0
51,18,40,1,1
27,15,34,0,1
53,17,52,0,1
31,10,54,0,0
48,19,45,1,0
65,12,27,0,1
32,13,55,1,1
25,17,49,1,1
31,13,42,0,0
40,11,33,0,1
57,10,33,0,1
38,11,21,1,0
33,8,56,0,1
62,11,24,0,1
35,8,57,0,0
64,19,33,1,1
41,8,58,0,1
43,17,44,1,0
42,13,39,1,1
62,12,21,0,1
58,18,58,1,0
46,11,25,0,1
32,18,36,1,1
62,10,44,1,1
18,8,47,1,0
42,13,21,0,0
24,9,54,0,1
26,15,56,0,0
41,17,24,0,0
18,12,20,0,0
61,14,59,0,0
25,17,31,0,1
41,19,55,0,1
28,9,42,1,0
68,15,50,1,1
34,9,30,0,0
25,11,29,0,0
52,8,22,0,1
52,12,33,1,1
50,16,35,0,0
22,8,29,1,0
59,16,48,1,1
56,18,29,1,0
58,15,31,1,1
45,13,49,1,0
24,14,20,1,1
26,10,24,1,1
25,8,39,1,1
29,12,27,1,1
51,19,31,1,1
50,19,20,1,1
65,9,39,0,1
40,12,47,0,1
41,15,56,0,0
54,18,56,0,0
52,16,31,0,0
61,9,56,0,1
57,19,47,1,1
39,10,34,0,1
44,10,25,1,1
52,8,39,0,1
18,15,33,0,1
52,13,21,1,1
54,19,28,1,1
64,15,56,0,0
31,18,39,1,0
20,16,45,1,1
18,12,48,0,1
22,19,20,0,1
43,10,54,1,0
31,12,25,1,0
56,12,56,1,0
44,12,24,1,1
26,10,52,0,1
32,18,33,0,1
32,17,31,0,1
43,11,39,1,0
59,16,43,1,0
30,17,53,1,0
68,16,44,0,0
49,9,48,0,1
56,15,58,1,1
66,15,50,1,1
69,14,42,1,0
49,15,57,0,0
21,10,39,1,1
47,13,42,0,1
54,8,35,1,1
40,14,27,0,1
56,8,40,1,1
62,16,20,0,0
32,8,27,1,1
60,8,48,1,1
46,14,51,0,1
53,9,57,0,0
30,12,24,0,1
49,15,41,0,0
24,15,53,1,1
68,10,20,0,0
39,14,45,1,1
45,10,29,1,1
19,13,49,1,0
59,13,37,0,0
62,10,36,0,1
23,14,45,1,0
45,10,27,1,1
45,15,59,0,1
61,17,31,0,1
61,11,46,1,1
37,8,27,1,1
47,11,44,0,1
28,14,23,0,1
45,18,52,1,1
42,11,20,0,0
56,13,38,0,0
50,16,50,1,1
18,8,35,1,0
44,12,33,0,1
69,18,24,1,1
30,14,45,1,1
58,8,47,1,1
20,11,21,1,1
56,13,25,1,0
23,9,28,0,1
25,17,52,1,1
44,12,44,1,1
26,18,32,1,1
54,17,28,1,0
50,8,32,0,1
68,13,50,1,1
59,13,30,1,1
61,11,23,0,0
41,15,53,1,1
32,11,57,0,1
49,15,23,0,0
49,15,57,0,1
41,12,38,0,0
58,11,25,0,0
69,19,53,1,1
66,9,37,0,0
66,18,32,1,1
69,10,42,1,1
29,10,38,1,0
56,11,30,1,1
19,11,20,0,0
20,17,43,1,0
66,18,26,0,1
54,18,44,1,1
66,12,40,1,1
34,11,34,0,0
66,18,20,0,1
19,17,31,1,0
19,15,26,1,1
45,13,34,1,1
40,13,40,0,0
54,15,38,1,1
49,14,48,0,0
50,17,44,1,1
18,18,52,1,0
